Property Number,Borough Code,Sign Name,,,,,,,,Category,Site Amenities,,,Sector Name,,Sector Desc.,,,Functional Acreage,Total Acreage,,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)",,"FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)",,"FY18 Q2
(Oct - Dec 2017)",,,"FY18 Q3
(Jan - Mar 2018)",,"FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)"
"M104 1, 16",M,Randall's Island Park,,,,,,,,Large Park,"Athletic
Facilities,Comfort Stations",,,Manhattan Sector 11R,,District 11R,,,201.21,256.11,,189,132,,108,234,1668.00,,918.00,,,851.00,,2073.00,,6.6,6.7,5.8,5.4,,No,No,No,No,44713.00,78901.00,93924.00,69641.00
R046 1,R,Franklin D. Roosevelt Boardwalk and Beach,,,,,,,,Large Park,"Athletic Facilities,Beaches, Comfort Stations,Playground",,,Staten Island Sector 2.2B,,"Districts 2, 2B",,,197.61,644.35,,"1,130",622,,542,717,17558.00,,9558.00,,,8613.00,,11325.00,,6.6,7.0,6.9,7.0,,Yes,Yes,Yes,Yes,52640.00,20564.00,26532.00,112641.00
R005 1,R,Clove Lakes Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,
Trails",,,Staten Island Sector 1,,District 1,,,192.54,193.42,,69,79,,73,81,1025.00,,1165.00,,,1085.00,,1237.00,,6.5,6.9,6.5,6.8,,No,No,No,No,50024.00,54385.00,47251.00,21529.00
R120,R,Arden Woods,,,,,,,,Large Park,"Natural Areas,Trails",,,"Staten
Island Sector 3",,District 3,,,191.47,145.94,,12,7,,3,1,195.00,,112.00,,,49.00,,23.00,,1.9,1.5,2.0,1.3,,No,No,No,No,81.00,151.00,0.00,530.00
B057 1,B,Marine Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,
Trails",,,Brooklyn Sector 17.18,,"Districts 17, 18",,,187.47,798.00,,197,251,,155,123,2749.00,,3478.00,,,2223.00,,1690.00,,6.3,7.0,7.0,6.8,,Yes,Yes,Yes,Yes,19885.00,19801.00,14350.00,10833.00
M042 1,M,Inwood Hill Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,
Trails",,,Manhattan Sector 12.12A,,"Districts 12, 12A",,,179.03,196.40,,214,106,,113,230,2976.00,,1358.00,,,1370.00,,3034.00,,6.4,5.8,6.9,6.9,,Yes,Yes,Yes,Yes,14148.00,8083.00,5643.00,7863.00
"X002 1, 17",X,Bronx Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,
Trails",,,Bronx Sector 3.6,,"Districts 3, 6",,,169.58,718.37,,311,218,,178,292,4585.00,,3177.00,,,2672.00,,4261.00,,6.6,7.0,7.0,7.0,,Yes,Yes,Yes,Yes,45077.00,33423.00,54620.00,29660.00
B169,B,Coney Island Beach & Boardwalk,,,,,,,,Large Park,"Athletic Facilities,Beaches,
Comfort Stations",,,Brooklyn Sector 13,,District 13,,,162.01,399.47,,890,151,,86,860,14505.00,,1924.00,,,1209.00,,12647.00,,6.3,6.0,5.0,6.8,,Yes,Yes,Yes,Yes,71369.00,40946.00,28303.00,156601.00
Q024 1,Q,Kissena Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,
Trails",,,Queens Sector 7,,District 7,,,144.74,237.15,,120,89,,82,112,1928.00,,1313.00,,,1296.00,,1851.00,,6.5,6.5,6.5,7.0,,Yes,Yes,Yes,Yes,11580.00,14152.00,11524.00,11455.00
R106,R,Bloomingdale Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Station,Natural Areas,Playground,T
rails",,,Staten Island Sector 3,,District 3,,,144.48,138.10,,107,56,,44,68,2099.00,,1183.00,,,991.00,,1436.00,,6.6,6.7,6.5,7.0,,Yes,Yes,Yes,Yes,2355.00,5484.00,2770.00,4304.00
"Q020 1, 18",Q,Highland Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,
Trails",,,Queens Sector 5A.16,,"Districts 5A, 16",,,139.58,146.75,,356,178,,367,532,5247.00,,2599.00,,,5230.00,,7230.00,,4.3,3.0,6.8,6.8,,Yes,Yes,Yes,Yes,6356.00,6354.00,11319.00,7857.00
