Property Number,Borough Code,Sign Name,,,,,,,,Category,Site Amenities,,,Sector Name,,Sector Desc.,,,Functional Acreage,Total Acreage,,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)",,"FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)",,"FY18 Q2
(Oct - Dec 2017)",,,"FY18 Q3
(Jan - Mar 2018)",,"FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)"
B144,B,Ocean Hill Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,1.60,1.60,,18,20,,17,34,224.00,,248.00,,,234.00,,429.00,,4.1,4.5,5.2,5.9,,No,Yes,No,Yes,2.00,743.00,821.00,1460.00
Q357B,Q,Real Good Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Queens Sector 5.6,,"Districts 5, 6",,,1.60,1.60,,42,22,,25,33,650.00,,273.00,,,330.00,,444.00,,5.2,4.7,4.7,5.9,,Yes,Yes,Yes,Yes,3187.00,17659.00,1094.00,1558.00
M263,M,Bellevue South Park,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,"Manhattan
Sector 6.8.15",,"Districts 6, 8, 15",,,1.59,1.59,,41,48,,36,41,575.00,,686.00,,,519.00,,598.00,,6.4,6.2,6.6,6.5,,No,No,No,No,285.00,3842.00,29.00,934.00
M203C,M,Dag Hammarskjold Plaza,,,,,,,,Small Park,,,,"Manhattan Sector
6.8.15",,"Districts 6, 8, 15",,,1.59,1.59,,25,9,,5,8,350.00,,135.00,,,66.00,,125.00,,5.0,5.4,2.5,4.8,,No,Yes,No,No,1454.00,1682.00,1750.00,6581.00
X157,X,Mazzei Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Bronx
Sector 11.12",,"Districts 11, 12",,,1.59,1.59,,26,21,,12,13,405.00,,296.00,,,173.00,,184.00,,6.4,5.6,5.2,6.5,,Yes,No,No,No,426.00,1227.00,747.00,812.00
B150 1,B,Kolbert Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Brooklyn
Sector 14.19",,"Districts 14, 19",,,1.58,1.58,,90,85,,74,102,1324.00,,1200.00,,,1071.00,,1482.00,,6.5,6.8,6.6,6.8,,Yes,Yes,Yes,Yes,1000.00,2327.00,1017.00,1533.00
M230,M,Poor Richard's Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Manhattan
Sector 10.11",,"Districts 10, 11",,,1.58,1.58,,124,71,,24,40,1691.00,,863.00,,,277.00,,480.00,,5.9,5.6,6.5,6.6,,Yes,Yes,No,No,830.00,3241.00,93.00,2922.00
X176,X,Taylor Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Bronx Sector
9.10",,"Districts 9, 10",,,1.58,1.58,,14,11,,11,12,238.00,,166.00,,,165.00,,201.00,,6.3,4.3,3.8,5.7,,No,No,No,No,524.00,2235.00,642.00,484.00
M283A,M,Battery Park City,,,,,,,,Small Park,,,,Manhattan Sector 1.2,,"Districts 1, 2",,,1.56,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B403,B,Harmony Park,,,,,,,,Small Park,,,,Brooklyn Sector 3.4,,"Districts 3, 4",,,1.56,1.56,,12,10,,10,16,169.00,,148.00,,,143.00,,225.00,,4.6,3.6,4.4,4.9,,No,No,No,No,1023.00,517.00,0.00,241.00
Q460,Q,Broad Channel Park,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,Queens Sector 14,,District 14,,,1.55,1.55,,9,14,,8,9,130.00,,184.00,,,104.00,,120.00,,4.0,4.9,4.8,5.0,,No,No,No,No,115.00,66.00,1673.00,740.00
Q390,Q,Clintonville Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Queens Sector 7,,District 7,,,1.55,1.55,,38,13,,2,7,476.00,,168.00,,,33.00,,105.00,,5.3,4.7,2.0,2.8,,Yes,Yes,No,No,729.00,282.00,936.00,1211.00
"B178 50, 51",B,Flatbush Malls,,,,,,,,Small Park,,,,"Brooklyn Sector
14.19",,"Districts 14, 19",,,1.55,1.55,,2,,,1,3,25.00,,7.00,,,20.00,,49.00,,1.3,1.0,1.3,1.6,,No,No,No,No,71.00,0.00,0.00,0.00
B237,B,John Hancock Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 3.4,,"Districts 3, 4",,,1.55,1.55,,21,29,,10,16,303.00,,450.00,,,148.00,,237.00,,5.3,5.5,4.8,6.2,,No,No,No,No,564.00,861.00,281.00,269.00
B111A,B,Washington Park,,,,,,,,Small Park,Athletic Facilities,,,Brooklyn Sector 6.7,,"Districts 6, 7",,,1.55,1.55,,51,35,,27,44,636.00,,476.00,,,374.00,,624.00,,5.6,5.3,5.8,6.3,,Yes,Yes,Yes,Yes,94.00,458.00,212.00,784.00
Q098,Q,Frank D. O'Connor Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Queens Sector 3.4,,"Districts 3, 4",,,1.54,1.54,,69,33,,37,138,1152.00,,486.00,,,515.00,,2105.00,,5.7,4.3,5.2,6.9,,Yes,Yes,Yes,Yes,1358.00,590.00,188.00,1129.00
R063,R,Old Town Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort Station,Playground",,,"Staten Island Sector
2.2B",,"Districts 2, 2B",,,1.53,1.53,,10,11,,9,10,152.00,,160.00,,,121.00,,156.00,,6.1,6.3,6.2,6.7,,No,No,No,No,3640.00,1460.00,1475.00,6504.00
Q423,Q,Reiff Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Queens Sector 5.6,,"Districts 5, 6",,,1.53,1.53,,11,25,,25,27,181.00,,394.00,,,395.00,,389.00,,5.0,5.9,6.0,5.9,,No,Yes,Yes,Yes,1906.00,2290.00,1448.00,4676.00
Q335,Q,Russell Sage Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Queens Sector 5.6,,"Districts 5, 6",,,1.53,1.53,,45,41,,34,42,700.00,,564.00,,,459.00,,571.00,,5.8,6.4,6.3,6.5,,Yes,Yes,Yes,Yes,867.00,500.00,363.00,344.00
M226 52,M,Augustus St. Gaudens Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Manhattan Sector
6.8.15",,"Districts 6, 8, 15",,,1.52,1.52,,68,88,,72,38,728.00,,850.00,,,990.00,,392.00,,6.4,6.5,6.8,5.9,,No,Yes,Yes,No,1419.00,837.00,1273.00,1302.00
R066,R,North Shore Esplanade,,,,,,,,Small Park,,,,"Staten Island
Sector 1",,District 1,,,1.52,1.52,,4,3,,3,4,53.00,,37.00,,,39.00,,56.00,,4.5,4.2,3.8,3.6,,No,No,No,No,124.00,52.00,0.00,59.00
B210A,B,John Allen Payne Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 6.7,,"Districts 6, 7",,,1.51,1.51,,16,14,,8,13,233.00,,204.00,,,123.00,,187.00,,6.4,5.8,5.7,6.5,,No,No,No,No,416.00,429.00,286.00,28.00
X171,X,Spuyten Duyvil Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Bronx Sector 7.8,,"Districts 7, 8",,,1.51,1.51,,11,12,,7,16,196.00,,181.00,,,120.00,,218.00,,5.1,4.2,4.3,4.1,,Yes,Yes,No,No,2666.00,379.00,715.00,1239.00
B215,B,Decatur Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,Brooklyn Sector 3.4,,"Districts 3, 4",,,1.50,1.50,,13,12,,8,13,181.00,,174.00,,,121.00,,187.00,,4.9,4.8,5.2,5.3,,No,No,No,No,0.00,221.00,190.00,198.00
M270,M,Dry Dock Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Manhattan Sector 3,,District 3,,,1.50,1.50,,4,7,,6,7,72.00,,105.00,,,80.00,,104.00,,5.9,4.4,3.7,5.2,,No,No,No,No,3294.00,984.00,103.00,4737.00
B243,B,Golconda Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 2,,District 2,,,1.50,1.50,,38,23,,9,49,468.00,,288.00,,,132.00,,692.00,,5.5,4.2,3.5,4.9,,Yes,Yes,No,Yes,525.00,143.00,479.00,65.00
Q366 1,Q,Louis C. Moser Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,Queens Sector 3.4,,"Districts 3, 4",,,1.50,1.50,,7,1,,1,1,115.00,,20.00,,,13.00,,17.00,,5.5,3.3,4.1,3.1,,No,No,No,No,1183.00,545.00,0.00,117.00
Q220F,Q,Maple Grove Park,,,,,,,,Small Park,,,,Queens Sector 8.9,,"Districts 8, 9",,,1.50,1.50,,3,3,,3,5,54.00,,53.00,,,44.00,,80.00,,6.1,6.0,6.1,5.2,,No,No,No,No,560.00,28.00,115.00,5.00
B258,B,Brevoort Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Brooklyn Sector 3.4,,"Districts 3, 4",,,1.49,1.49,,47,43,,31,51,563.00,,519.00,,,432.00,,653.00,,4.6,5.4,5.2,6.0,,Yes,Yes,Yes,Yes,1582.00,844.00,148.00,119.00
M187,M,Marx Brothers Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station",,,"Manhattan
Sector 10.11",,"Districts 10, 11",,,1.48,1.48,,26,19,,12,27,315.00,,234.00,,,119.00,,367.00,,5.8,5.5,6.0,6.3,,Yes,No,No,Yes,5.00,333.00,504.00,184.00
Q377,Q,Playground Sixty Two LXII,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Queens Sector 5.6,,"Districts 5, 6",,,1.48,1.48,,59,21,,24,24,902.00,,269.00,,,311.00,,321.00,,6.0,5.0,5.9,5.9,,Yes,Yes,Yes,Yes,418.00,1080.00,122.00,133.00
Q317,Q,Tall Oak Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Queens
Sector 11.13",,"Districts 11, 13",,,1.48,1.48,,3,4,,5,3,57.00,,62.00,,,77.00,,50.00,,5.1,6.4,6.2,5.2,,No,No,No,No,362.00,315.00,682.00,702.00
Q343,Q,Whitestone Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Queens Sector 7,,District 7,,,1.48,1.48,,49,35,,19,20,598.00,,428.00,,,241.00,,261.00,,5.5,4.8,3.2,3.3,,Yes,Yes,Yes,Yes,250.00,214.00,2080.00,212.00
Q347,Q,Colden Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Queens Sector 7,,District 7,,,1.47,1.47,,2,11,,24,20,47.00,,145.00,,,323.00,,267.00,,3.3,3.1,4.8,3.9,,No,Yes,Yes,Yes,992.00,363.00,437.00,315.00
Q360M,Q,Frontera Park,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Queens Sector 5.6,,"Districts 5, 6",,,1.47,1.47,,26,23,,25,24,538.00,,447.00,,,457.00,,407.00,,5.3,5.4,6.0,6.0,,Yes,Yes,Yes,Yes,169.00,802.00,49.00,345.00
Q393A,Q,LaGuardia Landing Lights,,,,,,,,Small Park,Athletic Facility,,,Queens Sector 3.4,,"Districts 3, 4",,,1.47,1.47,,7,3,,3,4,101.00,,38.00,,,39.00,,55.00,,5.4,4.8,4.8,4.2,,No,No,No,No,25.00,184.00,0.00,354.00
B157,B,Kelly Park Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,"Brooklyn Sector
11.15",,"Districts 11, 15",,,1.45,1.45,,44,45,,38,66,611.00,,550.00,,,470.00,,863.00,,5.8,5.8,5.8,6.2,,Yes,Yes,Yes,Yes,1084.00,1005.00,1408.00,11272.00
M065,M,Luther Gulick Park,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Manhattan Sector 3,,District 3,,,1.45,1.45,,9,7,,5,8,123.00,,99.00,,,77.00,,112.00,,6.3,5.5,5.4,6.6,,No,No,No,No,192.00,703.00,0.00,227.00
X041,X,Pulaski Park,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,Bronx Sector 1.2,,"Districts 1, 2",,,1.45,1.45,,10,12,,7,13,137.00,,168.00,,,110.00,,194.00,,5.0,5.4,4.8,5.8,,No,No,No,No,291.00,214.00,435.00,382.00
M108T,M,East River Walk,,,,,,,,Small Park,,,,"Manhattan
Sector 6.8.15",,"Districts 6, 8, 15",,,1.44,3.09,,32,31,,37,46,471.00,,434.00,,,525.00,,665.00,,5.5,5.1,5.3,6.6,,No,No,No,No,29.00,201.00,701.00,289.00
M200 1,M,Booker T. Washington Playground,,,,,,,,Small Park,Athletic Facilities,,,Manhattan Sector 7.9,,"Districts 7, 9",,,1.44,1.44,,18,20,,15,20,206.00,,203.00,,,174.00,,234.00,,5.9,6.1,5.8,6.7,,No,No,No,No,362.00,171.00,112.00,646.00
X185,X,Dunbar Playground,,,,,,,,Small Park,Athletic Facilities,,,Bronx Sector 3.6,,"Districts 3, 6",,,1.44,1.44,,14,9,,10,10,203.00,,133.00,,,141.00,,146.00,,6.2,5.2,4.8,5.8,,No,No,No,No,384.00,125.00,0.00,266.00
Q334,Q,Playground Twenty One,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,Queens Sector 7,,District 7,,,1.44,1.44,,2,1,,2,1,37.00,,26.00,,,30.00,,22.00,,2.2,1.3,2.1,1.9,,No,No,No,No,76.00,1800.00,416.00,85.00
X148H1,X,Prospect Playground,,,,,,,,Small Park,Athletic Facilities,,,Bronx Sector 3.6,,"Districts 3, 6",,,1.44,1.44,,6,4,,4,5,94.00,,65.00,,,52.00,,78.00,,4.3,2.2,3.2,4.4,,No,No,No,No,144.00,307.00,0.00,324.00
B364,B,Woods Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 8.9,,"Districts 8, 9",,,1.44,1.44,,78,73,,19,58,1082.00,,888.00,,,249.00,,873.00,,6.1,6.1,5.8,5.5,,Yes,Yes,No,Yes,3348.00,597.00,1579.00,1064.00
Q443,Q,Almeda Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,Queens Sector 14,,District 14,,,1.43,1.43,,13,9,,5,9,189.00,,129.00,,,79.00,,120.00,,4.3,4.4,5.0,5.0,,No,No,No,No,305.00,77.00,123.00,494.00
R126,R,Gaeta Park,,,,,,,,Small Park,,,,"Staten Island
Sector 1",,District 1,,,1.43,1.43,,3,5,,7,6,38.00,,78.00,,,102.00,,84.00,,4.2,5.2,4.3,4.7,,No,No,No,No,0.00,0.00,0.00,58.00
B236,B,Glenwood Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Brooklyn Sector
17.18",,"Districts 17, 18",,,1.43,1.43,,40,31,,33,12,494.00,,394.00,,,432.00,,163.00,,4.5,4.3,5.2,3.5,,Yes,Yes,No,No,1659.00,1139.00,1156.00,3708.00
Q178,Q,Mall Forty Two XLII,,,,,,,,Small Park,,,,"Queens
Sector 11.13",,"Districts 11, 13",,,1.43,1.43,,11,7,,6,7,188.00,,102.00,,,101.00,,113.00,,4.6,4.5,3.7,4.5,,No,No,No,No,0.00,42.00,0.00,117.00
Q220B,Q,Norelli-Hargreaves Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,"Queens
Sector 10.12",,"Districts 10, 12",,,1.43,1.43,,10,8,,6,8,151.00,,117.00,,,84.00,,112.00,,3.8,3.9,4.1,4.8,,No,No,No,No,77.00,26.00,76.00,253.00
M190,M,Sheltering Arms Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Manhattan Sector 7.9,,"Districts 7, 9",,,1.43,1.43,,10,14,,16,19,128.00,,192.00,,,206.00,,222.00,,6.0,6.3,6.3,6.3,,No,No,No,No,5361.00,1900.00,296.00,104165.00
B335,B,Bildersee Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station",,,"Brooklyn
Sector 17.18",,"Districts 17, 18",,,1.42,1.42,,15,35,,44,75,217.00,,449.00,,,553.00,,920.00,,4.3,4.2,5.7,6.4,,No,Yes,Yes,Yes,48.00,1143.00,83.00,409.00
Q207,Q,MacDonald Park,,,,,,,,Small Park,,,,Queens Sector 5.6,,"Districts 5, 6",,,1.42,1.42,,12,26,,33,43,199.00,,376.00,,,449.00,,600.00,,5.6,6.5,6.1,6.6,,Yes,Yes,Yes,Yes,899.00,1803.00,238.00,508.00
B322,B,Pulaski Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Brooklyn Sector 3.4,,"Districts 3, 4",,,1.42,1.42,,30,26,,19,35,438.00,,402.00,,,323.00,,493.00,,6.5,5.8,4.6,6.2,,Yes,Yes,Yes,Yes,7.00,92.00,891.00,91.00
X016,X,Owen F. Dolen Park,,,,,,,,Small Park,,,,"Bronx Sector
9.10",,"Districts 9, 10",,,1.40,1.40,,7,6,,6,18,107.00,,95.00,,,86.00,,268.00,,5.2,5.2,4.5,6.6,,No,No,No,No,605.00,2050.00,693.00,877.00
B249,B,Van Dyke Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,1.40,1.40,,20,12,,13,17,266.00,,162.00,,,178.00,,238.00,,4.3,3.8,4.2,4.6,,No,No,No,No,469.00,366.00,514.00,119.00
X095,X,Williamsbridge Square,,,,,,,,Small Park,,,,Bronx Sector 14,,District 14,,,1.40,1.40,,13,11,,8,14,184.00,,161.00,,,127.00,,219.00,,6.4,6.5,5.8,6.2,,No,No,No,No,575.00,16361.00,3564.00,1978.00
B151 1,B,Dome Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,"Brooklyn
Sector 10.12",,"Districts 10, 12",,,1.39,1.39,,6,10,,8,21,101.00,,151.00,,,125.00,,310.00,,5.8,5.7,4.6,6.5,,No,No,No,No,98.00,30.00,49.00,1355.00
X103 1,X,People's Park,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Bronx Sector 1.2,,"Districts 1, 2",,,1.39,1.39,,11,12,,10,14,164.00,,166.00,,,152.00,,201.00,,5.3,5.7,5.7,5.8,,No,No,No,No,1137.00,1392.00,1268.00,1117.00
X219,X,Arcilla Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Bronx Sector 4.5,,"Districts 4, 5",,,1.38,1.38,,14,15,,12,11,206.00,,223.00,,,202.00,,161.00,,5.5,5.8,5.7,4.8,,No,No,No,No,778.00,872.00,858.00,1102.00
B223A,B,Dimattina Playground,,,,,,,,Small Park,Athletic Facility,,,Brooklyn Sector 6.7,,"Districts 6, 7",,,1.38,1.38,,9,15,,8,7,138.00,,176.00,,,113.00,,102.00,,6.0,6.1,6.2,6.5,,No,No,No,No,245.00,676.00,609.00,545.00
X233,X,Fountain Of Youth Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Bronx Sector 1.2,,"Districts 1, 2",,,1.38,1.38,,16,10,,7,12,220.00,,150.00,,,101.00,,167.00,,5.9,5.2,3.9,5.5,,No,No,No,No,301.00,281.00,0.00,282.00
Q105,Q,Howard Von Dohlen Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Queens
Sector 10.12",,"Districts 10, 12",,,1.38,1.38,,36,7,,8,9,447.00,,93.00,,,119.00,,137.00,,4.3,3.4,5.0,4.8,,Yes,No,No,No,1812.00,361.00,107.00,447.00
R090,R,Lieutenant John H. Martinson Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Staten Island
Sector 3",,District 3,,,1.38,1.38,,40,39,,39,44,705.00,,703.00,,,701.00,,782.00,,6.4,6.6,6.4,6.8,,Yes,Yes,Yes,Yes,1668.00,1093.00,406.00,434.00
B268,B,Nautilus Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Brooklyn Sector 13,,District 13,,,1.38,1.38,,39,5,,27,52,520.00,,69.00,,,331.00,,726.00,,5.8,1.8,4.2,4.6,,Yes,No,Yes,Yes,0.00,639.00,0.00,292.00
M079,M,St. Catherine's Park,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Manhattan Sector
6.8.15",,"Districts 6, 8, 15",,,1.38,1.38,,177,168,,20,22,2231.00,,2230.00,,,310.00,,327.00,,6.6,7.0,7.0,6.5,,Yes,Yes,No,No,580.00,2704.00,1241.00,72.00
X177,X,Castle Hill Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Bronx
Sector 9.10",,"Districts 9, 10",,,1.37,1.37,,39,32,,26,29,637.00,,415.00,,,322.00,,354.00,,6.3,4.4,4.2,5.6,,No,Yes,Yes,Yes,145.00,933.00,69.00,354.00
M208E,M,Crack Is Wack Playground,,,,,,,,Small Park,Athletic Facilities,,,"Manhattan
Sector 10.11",,"Districts 10, 11",,,1.37,1.37,,32,29,,9,7,415.00,,373.00,,,112.00,,89.00,,6.1,5.6,5.8,5.6,,Yes,Yes,No,No,911.00,1617.00,0.00,52.00
B223G,B,Hillside Dog Park,,,,,,,,Small Park,,,,Brooklyn Sector 2,,District 2,,,1.37,1.37,,3,2,,2,6,39.00,,36.00,,,35.00,,89.00,,4.5,3.0,3.1,3.8,,No,No,No,No,188.00,116.00,0.00,52.00
R111,R,Lt. Lia Playground,,,,,,,,Small Park,Playground,,,"Staten
Island Sector 1",,District 1,,,1.37,1.37,,8,10,,9,12,124.00,,146.00,,,133.00,,183.00,,6.4,6.4,5.8,6.3,,No,No,No,No,207.00,2540.00,3298.00,420.00
B127,B,Martinez Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station",,,Brooklyn Sector 1,,District 1,,,1.37,1.37,,14,11,,11,12,204.00,,158.00,,,182.00,,182.00,,5.4,6.5,6.7,6.4,,No,No,No,No,2.00,79.00,104.00,361.00
Q220E,Q,Playground One Forty,,,,,,,,Small Park,Playground,,,"Queens
Sector 10.12",,"Districts 10, 12",,,1.37,1.37,,10,9,,8,10,154.00,,121.00,,,115.00,,149.00,,3.5,3.8,5.5,5.2,,No,No,No,No,251.00,740.00,63.00,249.00
B192,B,Russell Pedersen Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Brooklyn Sector
10.12",,"Districts 10, 12",,,1.37,1.37,,57,24,,31,27,808.00,,336.00,,,424.00,,358.00,,6.0,5.8,5.5,6.3,,Yes,No,Yes,Yes,347.00,1183.00,1127.00,3610.00
B223DA,B,Adam Yauch Park,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Brooklyn Sector 2,,District 2,,,1.36,1.36,,5,4,,4,7,73.00,,64.00,,,55.00,,111.00,,5.0,3.2,2.8,3.8,,No,No,No,No,3717.00,466.00,0.00,418.00
X148H,X,Admiral Farragut Playground,,,,,,,,Small Park,"Athletic Facility,Playground",,,Bronx Sector 3.6,,"Districts 3, 6",,,1.36,1.36,,6,5,,5,5,99.00,,67.00,,,64.00,,79.00,,4.2,2.4,3.5,4.4,,No,No,No,No,268.00,217.00,650.00,303.00
B044,B,Dr. Ronald McNair Park,,,,,,,,Small Park,,,,Brooklyn Sector 8.9,,"Districts 8, 9",,,1.36,1.36,,8,17,,8,10,140.00,,253.00,,,149.00,,163.00,,5.1,6.4,6.7,6.4,,No,No,No,No,111.00,60.00,2.00,159.00
B429 1,B,Hope Ballfield,,,,,,,,Small Park,,,,Brooklyn Sector 3.4,,"Districts 3, 4",,,1.36,1.36,,22,22,,15,30,359.00,,296.00,,,191.00,,371.00,,6.4,6.0,4.2,5.7,,No,Yes,Yes,Yes,2.00,77.00,0.00,252.00
R034 1,R,Austin J. McDonald Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Staten
Island Sector 1",,District 1,,,1.35,1.35,,4,5,,5,11,55.00,,66.00,,,69.00,,171.00,,6.1,5.8,5.8,6.1,,No,No,No,No,294.00,465.00,0.00,188.00
Q314,Q,Fresh Meadows Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Queens Sector 8.9,,"Districts 8, 9",,,1.35,1.35,,9,8,,8,15,132.00,,121.00,,,123.00,,209.00,,4.4,5.2,5.4,5.8,,No,No,No,No,933.00,473.00,374.00,140.00
Q318,Q,Playground Eighty LXXX,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Queens
Sector 11.13",,"Districts 11, 13",,,1.35,1.35,,5,7,,6,31,85.00,,101.00,,,87.00,,405.00,,4.4,4.2,5.1,6.0,,No,No,No,Yes,733.00,418.00,0.00,695.00
B293,B,Classon Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Brooklyn Sector 2,,District 2,,,1.34,1.34,,15,13,,10,15,194.00,,153.00,,,131.00,,199.00,,5.1,3.7,3.8,5.3,,No,No,No,No,258.00,80.00,0.00,103.00
X284,X,Printers Park,,,,,,,,Small Park,Playground,,,Bronx Sector 1.2,,"Districts 1, 2",,,1.34,1.34,,17,15,,12,15,245.00,,223.00,,,181.00,,215.00,,4.7,5.4,3.8,5.5,,No,No,No,No,265.00,636.00,603.00,612.00
M245,M,Renaissance Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Manhattan Sector
10.11",,"Districts 10, 11",,,1.34,1.34,,93,83,,20,41,1299.00,,995.00,,,241.00,,462.00,,6.3,6.0,6.1,6.5,,Yes,Yes,No,Yes,726.00,216.00,2022.00,1030.00
B284,B,Marc And Jason's Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Brooklyn Sector 8.9,,"Districts 8, 9",,,1.33,1.33,,57,76,,35,50,885.00,,1114.00,,,547.00,,724.00,,6.2,6.8,6.3,6.7,,Yes,Yes,Yes,Yes,1253.00,46.00,2503.00,286.00
B360,B,Remsen Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,"Brooklyn
Sector 17.18",,"Districts 17, 18",,,1.33,1.33,,10,11,,10,12,140.00,,168.00,,,144.00,,160.00,,4.3,4.0,4.3,3.9,,No,No,No,No,169.00,544.00,1234.00,145.00
M095A,M,Broadway Malls,,,,,,,,Small Park,,,,"Manhattan
Sector 12.12A",,"Districts 12, 12A",,,1.32,1.14,,20,13,,13,15,270.00,,191.00,,,174.00,,201.00,,5.9,5.4,5.4,5.0,,No,No,No,No,1.00,29.00,85.00,5.00
X169 1,X,Agnes Haywood Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Bronx
Sector 11.12",,"Districts 11, 12",,,1.32,1.32,,7,8,,7,8,105.00,,114.00,,,105.00,,107.00,,5.2,6.0,5.5,4.8,,No,No,No,No,0.00,278.00,162.00,2.00
Q378,Q,Ampere Playground,,,,,,,,Small Park,"Athletic
Facility,Comfort Station,Playground",,,Queens Sector 8.9,,"Districts 8, 9",,,1.32,1.32,,32,37,,40,45,399.00,,463.00,,,500.00,,560.00,,6.1,6.6,6.8,6.5,,Yes,Yes,Yes,Yes,570.00,560.00,233.00,230.00
